,RandomForest_accuracy,RandomForest_precsion,RandomForest_recall,RandomForest_f1_score,RandomForest with New Feature_accuracy,RandomForest with New Feature_precsion,RandomForest with New Feature_recall,RandomForest with New Feature_f1_score,AdaBoostClassifier_accuracy,AdaBoostClassifier_precsion,AdaBoostClassifier_recall,AdaBoostClassifier_f1_score,AdaBoostClassifier with New Feature_accuracy,AdaBoostClassifier with New Feature_precsion,AdaBoostClassifier with New Feature_recall,AdaBoostClassifier with New Feature_f1_score
related,0.8383838383838383,0.8473684210526315,0.9817073170731707,0.9096045197740114,0.8535353535353535,0.8571428571428571,0.9878048780487805,0.9178470254957507,0.8282828282828283,0.8282828282828283,1.0,0.9060773480662984,0.8282828282828283,0.8282828282828283,1.0,0.9060773480662984
request,0.805,0.8050847457627118,0.8558558558558559,0.8296943231441047,0.825,0.8333333333333334,0.8558558558558559,0.8444444444444446,0.725,0.7592592592592593,0.7387387387387387,0.7488584474885844,0.725,0.7592592592592593,0.7387387387387387,0.7488584474885844
offer,0.99,,0.0,,0.99,,0.0,,0.99,,0.0,,0.99,,0.0,
aid_related,0.79,0.7936507936507936,0.8620689655172413,0.8264462809917356,0.76,0.7741935483870968,0.8275862068965517,0.7999999999999998,0.74,0.7909090909090909,0.75,0.7699115044247788,0.74,0.7909090909090909,0.75,0.7699115044247788
medical_help,0.93,0.6666666666666666,0.25,0.36363636363636365,0.925,0.6,0.1875,0.2857142857142857,0.875,0.23529411764705882,0.25,0.24242424242424243,0.875,0.23529411764705882,0.25,0.24242424242424243
medical_products,0.93,1.0,0.06666666666666667,0.125,0.93,1.0,0.06666666666666667,0.125,0.915,0.42857142857142855,0.4,0.4137931034482758,0.925,0.5,0.4,0.4444444444444445
search_and_rescue,0.98,,0.0,,0.98,,0.0,,0.945,0.0,0.0,,0.965,0.0,0.0,
security,0.955,,0.0,,0.955,,0.0,,0.935,0.0,0.0,,0.94,0.0,0.0,
military,0.99,,0.0,,0.99,,0.0,,0.99,,0.0,,0.98,0.0,0.0,
child_alone,1.0,,,,1.0,,,,1.0,,,,1.0,,,
