,RandomForest_accuracy,RandomForest_precsion,RandomForest_recall,RandomForest_f1_score,RandomForest with New Feature_accuracy,RandomForest with New Feature_precsion,RandomForest with New Feature_recall,RandomForest with New Feature_f1_score,AdaBoostClassifier_accuracy,AdaBoostClassifier_precsion,AdaBoostClassifier_recall,AdaBoostClassifier_f1_score,AdaBoostClassifier with New Feature_accuracy,AdaBoostClassifier with New Feature_precsion,AdaBoostClassifier with New Feature_recall,AdaBoostClassifier with New Feature_f1_score
related,0.8,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.85,0.85,1.0,0.9189189189189189,0.7,0.8666666666666667,0.7647058823529411,0.8125000000000001,0.75,0.8333333333333334,0.8823529411764706,0.8571428571428571
request,0.85,0.8461538461538461,0.9166666666666666,0.88,0.75,0.8181818181818182,0.75,0.7826086956521738,0.7,0.75,0.75,0.75,0.65,0.7272727272727273,0.6666666666666666,0.6956521739130435
offer,1.0,,,,1.0,,,,1.0,,,,1.0,,,
aid_related,0.65,0.6875,0.8461538461538461,0.7586206896551724,0.75,0.75,0.9230769230769231,0.8275862068965517,0.8,0.8461538461538461,0.8461538461538461,0.8461538461538463,0.75,0.8333333333333334,0.7692307692307693,0.8
medical_help,0.95,,0.0,,0.95,,0.0,,0.85,0.0,0.0,,0.9,0.0,0.0,
medical_products,1.0,,,,1.0,,,,0.85,0.0,,,0.95,0.0,,
search_and_rescue,1.0,,,,1.0,,,,1.0,,,,1.0,,,
security,1.0,,,,1.0,,,,1.0,,,,1.0,,,
military,1.0,,,,1.0,,,,0.95,0.0,,,1.0,,,
child_alone,1.0,,,,1.0,,,,1.0,,,,1.0,,,
water,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.95,0.8571428571428571,1.0,0.923076923076923
food,0.7,0.75,0.375,0.5,0.8,0.8333333333333334,0.625,0.7142857142857143,0.9,0.875,0.875,0.875,0.9,0.875,0.875,0.875
shelter,0.95,,0.0,,0.95,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clothing,0.95,,0.0,,0.95,,0.0,,0.95,,0.0,,0.95,,0.0,
money,0.95,,0.0,,0.95,,0.0,,0.95,,0.0,,0.95,,0.0,
missing_people,1.0,,,,1.0,,,,1.0,,,,1.0,,,
refugees,1.0,,,,1.0,,,,1.0,,,,1.0,,,
death,1.0,,,,1.0,,,,0.95,0.0,,,0.95,0.0,,
other_aid,0.8,,0.0,,0.8,,0.0,,0.8,,0.0,,0.85,1.0,0.25,0.4
infrastructure_related,1.0,,,,1.0,,,,1.0,,,,0.95,0.0,,
transport,0.95,,0.0,,0.95,,0.0,,0.9,0.0,0.0,,0.9,0.0,0.0,
buildings,1.0,,,,1.0,,,,1.0,,,,1.0,,,
electricity,1.0,,,,1.0,,,,1.0,,,,1.0,,,
tools,1.0,,,,1.0,,,,0.95,0.0,,,0.95,0.0,,
hospitals,1.0,,,,1.0,,,,1.0,,,,1.0,,,
shops,1.0,,,,1.0,,,,1.0,,,,1.0,,,
aid_centers,1.0,,,,1.0,,,,1.0,,,,1.0,,,
other_infrastructure,1.0,,,,1.0,,,,1.0,,,,0.95,0.0,,
weather_related,0.9,,0.0,,0.9,,0.0,,0.85,0.3333333333333333,0.5,0.4,0.9,0.5,0.5,0.5
floods,0.95,,0.0,,0.95,,0.0,,0.95,,0.0,,0.9,0.0,0.0,
storm,1.0,,,,1.0,,,,0.9,0.0,,,0.95,0.0,,
fire,1.0,,,,1.0,,,,1.0,,,,1.0,,,
earthquake,0.95,,0.0,,0.95,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cold,1.0,,,,1.0,,,,0.95,0.0,,,1.0,,,
other_weather,1.0,,,,1.0,,,,0.95,0.0,,,1.0,,,
direct_report,0.55,0.625,0.45454545454545453,0.5263157894736843,0.6,0.6666666666666666,0.5454545454545454,0.6000000000000001,0.6,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.55,0.6,0.5454545454545454,0.5714285714285713
